naics,top1_code,top1_desc,top2_code,top2_desc,top3_code,top3_desc,candidate_count
624310,8832,Physician / Dentist Office,8742,Outside Sales,8868,Schools — Professional Employees,6
624410,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,9101,Schools (Nonprofit) / Adult Day Care,3
711110,9154,Theaters,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,8
711120,8868,Schools — Professional Employees,9063,Health or Exercise Institute,9053,Bathhouse,6
711130,8810,Clerical Office Employees NOC,8868,Schools — Professional Employees,0953,Computer System Designers,10
711190,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,9101,Schools (Nonprofit) / Adult Day Care,10
711211,9053,Bathhouse,9063,Health or Exercise Institute,8742,Outside Sales,10
711219,8810,Clerical Office Employees NOC,8742,Outside Sales,7610,Duplication Service,6
711310,8742,Outside Sales,9084,Bar/Nightclub/Tavern,9154,Theaters,10
711320,8810,Clerical Office Employees NOC,8742,Outside Sales,,,2
711410,8810,Clerical Office Employees NOC,,,,,1
711510,8810,Clerical Office Employees NOC,,,,,1
712110,8838,Public Museum,8810,Clerical Office Employees NOC,8068,Art Galleries,10
712120,8810,Clerical Office Employees NOC,,,,,1
712130,9097,Aquarium Cleaning Services,0005,Farm,7610,Duplication Service,3
712190,5645,Carpentry — Residential,,,,,1
713110,8742,Outside Sales,,,,,1
713120,8810,Clerical Office Employees NOC,9016,Amusement Park/Exhibition,9063,Health or Exercise Institute,4
713290,8017,Store Retail NOC,9061,Club NOC,,,2
713910,9060,"Club — Country, Golf, Yacht",,,,,1
713930,6836,Boat Storage & Moorage,,,,,1
713940,9063,Health or Exercise Institute,8810,Clerical Office Employees NOC,9586,Beauty Parlor / Barber Shop / Salon,4
713950,9093,Bowling Lane,,,,,1
713990,9016,Amusement Park/Exhibition,9063,Health or Exercise Institute,8742,Outside Sales,3
721110,9058,Hotel Employees — Restaurant,9052,Hotel,9015,Buildings NOC,3
721191,9052,Hotel,,,,,1
721199,8810,Clerical Office Employees NOC,9015,Buildings NOC,0953,Computer System Designers,3
721211,8017,Store Retail NOC,,,,,1
721214,8840,Convents or Monasteries,,,,,1
721310,9061,Club NOC,,,,,1
722211,9083,Bakery / Doughnut Mfg.,9079,Restaurant / Fast Food,0897,Barbeque w/ Alcohol Sales,5
722213,9083,Bakery / Doughnut Mfg.,9079,Restaurant / Fast Food,,,2
722310,9083,Bakery / Doughnut Mfg.,9082,Caterer — Full Service,9079,Restaurant / Fast Food,10
722320,9079,Restaurant / Fast Food,9082,Caterer — Full Service,,,2
722330,9079,Restaurant / Fast Food,,,,,1
722410,9079,Restaurant / Fast Food,8810,Clerical Office Employees NOC,,,2
722511,9079,Restaurant / Fast Food,9014,Janitorial / Buildings by Contractor,8810,Clerical Office Employees NOC,3
722513,9079,Restaurant / Fast Food,9082,Caterer — Full Service,8017,Store Retail NOC,4
722514,9083,Bakery / Doughnut Mfg.,8017,Store Retail NOC,9071,Brew Pubs,9
722515,8017,Store Retail NOC,9079,Restaurant / Fast Food,6504,Baby Food Mfg.,3
811111,8391,Auto Repair / Sales / Service,8810,Clerical Office Employees NOC,3632,Machine Shop NOC,3
811112,8389,Air Conditioning Systems,,,,,1
811114,8391,Auto Repair / Sales / Service,,,,,1
811118,8380,Tire Dealer — Retail,8810,Clerical Office Employees NOC,8389,Air Conditioning Systems,7
811121,8391,Auto Repair / Sales / Service,8742,Outside Sales,,,2
811122,8380,Tire Dealer — Retail,8810,Clerical Office Employees NOC,8393,Automobile Body Repair,3
811191,8380,Tire Dealer — Retail,8389,Air Conditioning Systems,,,2
811192,8387,Automobile Car Wash,,,,,1
811198,8387,Automobile Car Wash,8393,Automobile Body Repair,,,2
811210,8810,Clerical Office Employees NOC,,,,,1
811211,8017,Store Retail NOC,8018,Appliance Distributors,8810,Clerical Office Employees NOC,7
811212,8017,Store Retail NOC,,,,,1
811213,8017,Store Retail NOC,9516,Communication Equip Install,8901,Telecom Equipment Providers,7
811219,5191,Electronic / Precision Equipment Repair,8810,Clerical Office Employees NOC,,,2
811310,3632,Machine Shop NOC,,,,,1
811411,8010,Air Conditioning Equipment,7605,Burglar Alarm Install / Repair,9097,Aquarium Cleaning Services,8
811412,9519,Air Conditioning Portable Units,3724,Door Installation,8810,Clerical Office Employees NOC,5
811420,9522,Auto/Truck Body Mfg.,8810,Clerical Office Employees NOC,,,2
811430,8008,Store — Clothing / Shoes,8017,Store Retail NOC,8810,Clerical Office Employees NOC,3
811490,0917,House Cleaning,8017,Store Retail NOC,8010,Air Conditioning Equipment,10
812111,9586,Beauty Parlor / Barber Shop / Salon,,,,,1
812112,9586,Beauty Parlor / Barber Shop / Salon,8832,Physician / Dentist Office,,,2
812113,9586,Beauty Parlor / Barber Shop / Salon,,,,,1
812120,9586,Beauty Parlor / Barber Shop / Salon,,,,,1
812190,9063,Health or Exercise Institute,,,,,1
812191,8832,Physician / Dentist Office,,,,,1
812199,9586,Beauty Parlor / Barber Shop / Salon,9079,Restaurant / Fast Food,9063,Health or Exercise Institute,5
812210,8810,Clerical Office Employees NOC,,,,,1
812220,9620,Undertaker / Funeral Home,,,,,1
812310,2583,Cleaning or Dyeing,8017,Store Retail NOC,8742,Outside Sales,3
812320,2583,Cleaning or Dyeing,2590,Laundry and Dry Cleaning,8809,Executive Officers NOC,3
812331,2585,Carpet/Rug Cleaning,8017,Store Retail NOC,,,2
812910,8831,Pet Grooming / Veterinarian,8017,Store Retail NOC,9014,Janitorial / Buildings by Contractor,5
812920,8831,Pet Grooming / Veterinarian,,,,,1
812921,4360,Duplication Service,8017,Store Retail NOC,8810,Clerical Office Employees NOC,3
812930,8392,Automobile Parking Lot,8810,Clerical Office Employees NOC,9015,Buildings NOC,3
812990,9063,Health or Exercise Institute,5102,Awning/Tent Installation,8810,Clerical Office Employees NOC,8
813110,8868,Schools — Professional Employees,8810,Clerical Office Employees NOC,9101,Schools (Nonprofit) / Adult Day Care,7
813120,8810,Clerical Office Employees NOC,8868,Schools — Professional Employees,,,2
813190,8810,Clerical Office Employees NOC,,,,,1
813211,8810,Clerical Office Employees NOC,,,,,1
813212,8810,Clerical Office Employees NOC,,,,,1
813219,8810,Clerical Office Employees NOC,,,,,1
813311,8820,Attorney — All Employees,,,,,1
813312,8810,Clerical Office Employees NOC,8742,Outside Sales,8868,Schools — Professional Employees,10
813319,8810,Clerical Office Employees NOC,8868,Schools — Professional Employees,8820,Attorney — All Employees,3
813410,8742,Outside Sales,8810,Clerical Office Employees NOC,8868,Schools — Professional Employees,4
813910,8810,Clerical Office Employees NOC,8742,Outside Sales,9061,Club NOC,10
813920,8810,Clerical Office Employees NOC,8832,Physician / Dentist Office,,,2
813930,8755,Labor Union,8810,Clerical Office Employees NOC,,,2
813940,9061,Club NOC,8810,Clerical Office Employees NOC,,,2
813990,8810,Clerical Office Employees NOC,,,,,1
814110,0917,House Cleaning,8810,Clerical Office Employees NOC,9011,Apartment/Condo Complex,10
921110,8810,Clerical Office Employees NOC,9012,Apartment / Condo Operation,,,2
921120,8742,Outside Sales,8810,Clerical Office Employees NOC,,,2
921130,8742,Outside Sales,,,,,1
921150,8810,Clerical Office Employees NOC,0042,Land and Garden Services,,,2
921190,8810,Clerical Office Employees NOC,8832,Physician / Dentist Office,8834,Acupressure or Acupuncture,7
922130,8820,Attorney — All Employees,8810,Clerical Office Employees NOC,,,2
922160,7605,Burglar Alarm Install / Repair,8742,Outside Sales,8810,Clerical Office Employees NOC,5
923110,8810,Clerical Office Employees NOC,8742,Outside Sales,8840,Convents or Monasteries,4
923120,8871,Document Preparation Services,8810,Clerical Office Employees NOC,8742,Outside Sales,5
923130,8742,Outside Sales,8832,Physician / Dentist Office,8810,Clerical Office Employees NOC,8
923140,8832,Physician / Dentist Office,,,,,1
924120,8810,Clerical Office Employees NOC,,,,,1
925110,8871,Document Preparation Services,8810,Clerical Office Employees NOC,,,2
925120,8810,Clerical Office Employees NOC,,,,,1
926110,8810,Clerical Office Employees NOC,8742,Outside Sales,,,2
926130,8742,Outside Sales,,,,,1
926140,8017,Store Retail NOC,8810,Clerical Office Employees NOC,,,2
926150,8018,Appliance Distributors,8810,Clerical Office Employees NOC,,,2
927110,8810,Clerical Office Employees NOC,,,,,1
928110,8859,Computer Data Processing,8601,Architectural / Engineering Firm,8810,Clerical Office Employees NOC,4
928120,8820,Attorney — All Employees,8810,Clerical Office Employees NOC,8871,Document Preparation Services,4
999999,9102,Lawn Maintenance,9061,Club NOC,8810,Clerical Office Employees NOC,4
